Ward Code,primary_students,grammar_students,secondary_students,primary_schools,grammar_schools,secondary_schools,libraries
95AA03,143,0,0,1,0,0,0
95AA04,381,0,0,3,0,0,0
95AA05,178,0,0,2,0,0,0
95AA06,641,0,100,2,0,1,1
95AA07,226,0,0,2,0,0,0
95AA08,374,0,0,2,0,0,0
95AA10,185,0,0,1,0,0,1
95AA11,1132,0,0,2,0,0,1
95AA12,81,0,0,1,0,0,0
95AA13,617,0,370,2,0,1,1
95AA14,122,0,0,2,0,0,0
95AA15,275,738,674,1,1,1,0
95AA16,206,0,0,1,0,0,0
95AA18,403,0,0,1,0,0,0
95AA19,218,0,0,2,0,0,0
95BB01,193,0,0,2,0,0,0
95BB03,259,0,0,2,0,0,0
95BB04,413,0,0,1,0,0,0
95BB05,158,0,576,1,0,1,0
95BB06,696,1425,0,2,1,0,1
95BB07,65,0,0,1,0,0,1
95BB08,345,0,414,1,0,1,0
95BB09,338,0,0,1,0,0,0
95BB10,393,0,0,1,0,0,1
95BB11,49,0,0,1,0,0,0
95BB12,384,0,0,1,0,0,0
95BB13,235,0,0,1,0,0,0
95BB14,362,0,0,1,0,0,0
95BB15,476,0,0,3,0,0,0
95BB17,625,0,0,2,0,0,0
95BB18,315,0,0,2,0,0,0
95BB19,0,0,219,0,0,1,0
95BB20,230,0,187,2,0,1,1
95BB21,437,0,630,3,0,1,0
95BB22,156,0,0,1,0,0,0
95CC01,483,972,0,1,1,0,0
95CC02,191,0,0,2,0,0,0
95CC03,219,0,1130,1,0,1,1
95CC04,250,0,0,2,0,0,0
95CC05,311,0,0,2,0,0,0
95CC07,372,0,0,3,0,0,0
95CC08,662,0,0,2,0,0,0
95CC09,112,0,0,2,0,0,0
95CC10,81,0,0,1,0,0,0
95CC11,153,0,1027,1,0,1,1
95CC12,194,0,0,3,0,0,0
95CC13,226,0,0,2,0,0,0
95CC14,130,0,0,1,0,0,0
95CC15,426,0,0,4,0,0,0
95CC16,323,0,495,1,0,1,0
95CC17,134,0,0,1,0,0,0
95CC18,724,0,276,2,0,1,0
95CC19,489,0,0,4,0,0,0
95CC20,381,0,0,1,0,0,1
95CC21,322,0,277,1,0,1,1
95CC22,28,720,0,1,1,0,0
95DD01,0,1225,0,0,1,0,0
95DD02,363,0,0,2,0,0,0
95DD03,0,904,0,0,1,0,0
95DD04,0,0,756,0,0,1,0
95DD05,378,0,0,1,0,0,0
95DD06,291,0,0,1,0,0,0
95DD07,329,0,0,1,0,0,1
95DD09,34,0,0,1,0,0,0
95DD10,303,0,632,1,0,1,0
95DD11,67,0,838,1,0,1,0
95DD12,139,0,0,1,0,0,0
95DD14,414,0,0,1,0,0,0
95DD15,146,0,0,1,0,0,0
95DD16,476,0,0,3,0,0,0
95DD17,169,0,0,2,0,0,0
95DD18,404,0,0,1,0,0,0
95DD20,85,0,0,1,0,0,0
95DD21,670,1037,0,2,1,0,0
95DD22,308,0,0,2,0,0,1
95DD23,109,0,0,1,0,0,0
95DD24,698,0,522,2,0,1,0
95EE01,231,0,0,2,0,0,0
95EE02,162,0,0,2,0,0,0
95EE04,150,0,0,2,0,0,0
95EE05,66,0,0,1,0,0,0
95EE06,274,0,0,1,0,0,0
95EE07,287,0,649,1,0,1,0
95EE09,393,0,0,3,0,0,0
95EE10,74,0,0,1,0,0,0
95EE11,171,0,0,2,0,0,0
95EE13,564,872,225,2,1,1,0
95EE14,103,0,0,1,0,0,0
95EE15,133,0,0,1,0,0,0
95EE16,72,0,0,1,0,0,0
95FF02,79,0,0,1,0,0,0
95FF03,416,0,299,1,0,1,0
95FF04,659,0,0,3,0,0,0
95FF05,103,0,0,1,0,0,1
95FF06,705,0,927,1,0,1,0
95FF07,460,0,0,1,0,0,0
95FF08,364,0,503,1,0,1,0
95FF09,400,0,0,3,0,0,0
95FF10,381,0,0,2,0,0,0
95FF11,304,0,0,2,0,0,0
95FF12,171,0,0,2,0,0,0
95FF13,246,0,597,2,0,1,0
95FF15,356,0,316,2,0,1,1
95FF16,407,1320,0,1,1,0,0
95GG01,410,0,1070,1,0,1,0
95GG02,427,0,0,1,0,0,0
95GG03,1816,691,0,4,1,0,1
95GG04,232,0,0,1,0,0,0
95GG06,515,0,1414,2,0,2,0
95GG07,426,1031,584,2,1,2,0
95GG08,1036,0,900,2,0,1,0
95GG09,237,783,1448,1,1,2,0
95GG10,225,0,0,1,0,0,0
95GG12,320,1776,0,2,1,0,0
95GG13,310,0,0,2,0,0,0
95GG14,408,0,0,1,0,0,0
95GG16,437,0,0,1,0,0,1
95GG17,634,0,910,3,0,1,0
95GG18,487,0,0,2,0,0,1
95GG19,793,0,0,2,0,0,0
95GG20,175,0,0,1,0,0,1
95GG21,658,0,0,3,0,0,0
95GG22,666,0,1474,2,0,1,0
95GG23,841,1973,0,1,2,0,0
95GG24,385,1026,1311,1,1,2,0
95GG25,1291,1186,1615,3,1,2,0
95GG26,389,0,0,2,0,0,0
95GG27,632,0,0,1,0,0,0
95GG28,464,0,0,3,0,0,0
95GG32,801,0,0,4,0,0,1
95GG33,184,874,0,1,1,0,1
95GG34,628,0,591,2,0,1,1
95GG35,618,0,0,2,0,0,1
95GG36,410,1087,0,1,1,0,0
95GG37,621,811,629,2,1,1,0
95GG38,1005,790,0,3,1,0,0
95GG39,409,1025,0,2,1,0,0
95GG40,98,0,0,1,0,0,1
95GG41,261,900,0,1,1,0,0
95GG42,415,0,0,1,0,0,0
95GG43,390,0,0,1,0,0,0
95GG44,917,0,0,2,0,0,0
95GG46,906,0,0,2,0,0,1
95GG47,855,2457,0,3,2,0,0
95GG48,159,0,605,1,0,1,0
95GG49,1021,0,0,2,0,0,0
95GG50,305,0,0,1,0,0,1
95HH01,379,0,0,1,0,0,0
95HH02,0,0,542,0,0,1,0
95HH04,0,806,684,0,1,1,0
95HH05,257,0,0,1,0,0,0
95HH06,209,0,0,1,0,0,0
95HH08,115,0,0,1,0,0,0
95HH09,647,0,0,3,0,0,1
95HH10,397,0,0,1,0,0,0
95HH11,289,0,0,1,0,0,0
95HH14,162,0,0,1,0,0,0
95HH15,635,0,581,2,0,1,0
95HH17,189,0,0,1,0,0,0
95II02,575,0,0,1,0,0,0
95II04,0,0,276,0,0,1,0
95II05,604,0,0,2,0,0,1
95II07,173,0,0,1,0,0,0
95II12,427,1271,0,1,1,0,0
95II13,1246,0,0,2,0,0,1
95II14,419,0,0,1,0,0,0
95II15,476,0,0,1,0,0,0
95II16,303,0,0,1,0,0,0
95II17,440,0,0,2,0,0,0
95II18,254,0,0,1,0,0,0
95II19,486,0,1265,2,0,1,0
95II20,0,0,900,0,0,1,1
95II21,71,0,0,1,0,0,1
95II23,620,0,0,2,0,0,1
95JJ01,196,0,0,2,0,0,0
95JJ02,187,0,0,1,0,0,0
95JJ03,244,0,0,1,0,0,0
95JJ04,284,0,0,2,0,0,0
95JJ06,357,0,0,2,0,0,0
95JJ07,201,0,427,1,0,1,0
95JJ08,388,0,0,2,0,0,0
95JJ09,81,0,0,1,0,0,0
95JJ10,337,0,0,3,0,0,1
95JJ12,309,0,290,2,0,1,1
95JJ14,200,0,0,1,0,0,0
95JJ15,496,0,280,2,0,1,0
95JJ16,416,481,0,2,1,0,1
95JJ17,181,0,0,2,0,0,0
95JJ18,269,0,0,2,0,0,1
