Ward Code,residents,work_from_home,train,bus,motorcycle,driving,passenger,carpool,taxi,bicycle,walking,other,public
95AA01,"3,172",442,14,423,11,"1,280",402,213,18,91,253,25,434
95AA02,"1,026",62,16,87,3,415,168,77,35,17,138,8,103
95AA03,"1,050",117,4,131,8,406,148,64,41,13,114,4,135
95AA04,"2,158",353,5,234,12,966,353,145,15,7,51,17,236
95AA05,"1,766",227,13,220,4,774,258,151,16,7,81,15,233
95AA06,"3,212",269,17,539,10,"1,222",466,213,30,16,419,11,556
95AA07,"1,392",157,13,167,1,669,192,86,14,0,84,9,180
95AA08,966,86,5,152,6,330,142,71,50,3,117,4,157
95AA09,"1,261",124,31,103,2,437,161,81,42,12,258,10,134
95AA10,"1,136",104,12,116,5,431,183,76,44,5,155,5,128
95AA11,"3,709",276,61,286,12,"1,582",692,298,83,34,365,20,344
95AA12,"2,045",251,11,259,6,937,355,156,7,1,42,20,270
95AA13,"2,204",165,19,258,6,947,322,175,15,13,265,19,277
95AA14,"1,586",188,17,188,7,774,237,118,11,3,30,13,205
95AA15,"2,834",255,51,214,6,"1,176",430,218,110,47,315,12,262
95AA16,"1,082",99,15,85,5,393,133,86,36,13,212,5,100
95AA17,"1,392",106,10,129,9,548,221,91,45,10,212,11,139
95AA18,"1,439",161,10,181,3,695,187,114,19,3,51,15,191
95AA19,"1,778",211,6,307,0,716,273,142,10,2,97,14,313
95BB01,"2,573",203,2,361,8,"1,317",380,171,8,5,95,23,363
95BB02,"1,217",124,11,109,7,502,144,84,10,6,217,3,120
95BB03,"2,362",229,8,314,12,"1,087",324,171,8,15,180,14,322
95BB04,"1,722",168,13,149,8,836,246,118,14,4,151,15,162
95BB05,"2,226",348,13,198,10,"1,046",317,145,8,4,115,22,211
95BB06,"1,501",122,4,190,9,544,161,105,14,10,332,10,194
95BB07,"1,719",155,4,219,7,796,223,104,6,12,181,12,223
95BB08,"1,635",116,2,182,18,773,186,129,6,5,211,7,184
95BB09,"1,899",184,7,190,4,"1,022",216,140,9,5,115,7,197
95BB10,"1,939",215,40,201,7,908,270,157,4,5,122,10,240
95BB11,"1,618",115,17,250,13,717,145,129,6,8,209,9,267
95BB12,"1,619",139,7,183,8,638,258,102,14,9,255,6,190
95BB13,"2,962",242,6,320,14,"1,309",488,206,26,9,322,20,326
95BB14,"2,098",245,6,257,4,"1,037",274,153,6,7,91,18,263
95BB15,"2,228",265,3,367,11,957,294,172,8,3,130,18,370
95BB16,"2,089",249,10,275,8,"1,020",281,157,8,12,59,10,285
95BB17,"2,391",240,7,254,12,"1,068",399,164,21,9,206,11,261
95BB18,"2,666",278,38,264,15,"1,275",428,189,12,5,138,24,302
95BB19,"3,411",221,16,322,20,"1,655",582,249,26,9,293,18,338
95BB20,"1,961",251,0,254,6,729,277,153,9,1,265,16,254
95BB21,"2,888",354,12,373,9,"1,279",380,223,6,12,199,41,385
95BB22,"1,893",149,1,261,22,699,369,144,24,17,194,13,262
95BB23,"1,972",186,14,188,15,973,300,137,7,9,136,7,202
95CC01,"1,437",200,5,100,1,490,190,111,28,5,292,15,104
95CC02,"1,798",306,7,236,2,764,268,138,10,4,47,16,243
95CC03,"1,519",178,6,100,1,439,220,118,42,7,400,8,106
95CC04,"1,580",220,10,217,0,663,253,132,7,8,50,20,225
95CC05,"1,795",253,16,293,3,777,235,115,12,3,71,17,309
95CC06,"1,763",165,14,143,2,819,351,149,23,5,87,5,157
95CC07,"2,293",356,17,275,1,948,413,158,18,1,85,21,292
95CC08,"1,441",153,10,61,0,531,249,98,18,5,303,13,71
95CC09,"2,333",271,28,258,4,"1,180",331,165,9,3,64,20,286
95CC10,"1,670",259,18,184,3,798,236,114,11,2,25,20,202
95CC11,929,127,6,48,2,385,118,72,9,0,152,10,53
95CC12,"1,845",313,9,299,1,806,234,99,10,2,50,22,308
95CC13,"1,669",241,10,242,1,760,211,130,10,6,44,14,252
95CC14,"1,988",161,36,175,7,978,343,158,10,1,111,8,211
95CC15,"1,916",261,39,299,8,830,213,151,8,3,88,16,338
95CC16,"1,784",187,18,174,3,756,298,109,10,0,216,13,192
95CC17,"1,873",271,12,198,1,838,322,139,17,3,54,18,210
95CC18,"1,448",125,15,66,3,693,278,92,7,5,158,6,81
95CC19,"1,826",270,21,261,4,802,261,127,6,1,50,23,282
95CC20,"2,008",201,30,255,4,922,291,165,18,2,108,12,285
95CC21,"1,869",186,31,145,8,863,238,152,9,4,220,13,176
95CC22,986,119,11,80,6,373,152,56,11,5,169,4,90
95DD01,"1,203",96,18,47,4,538,260,102,12,6,115,5,65
95DD02,"2,641",236,31,212,6,"1,329",459,207,13,9,126,13,243
95DD03,"2,321",200,42,119,3,"1,101",474,197,24,11,136,14,161
95DD04,"1,034",104,9,86,7,302,156,71,26,11,257,5,95
95DD05,"1,000",116,6,105,2,342,121,52,19,9,221,7,111
95DD06,"1,540",113,29,32,5,762,338,126,22,7,103,3,61
95DD07,"2,006",168,25,143,2,"1,006",365,155,12,11,103,16,168
95DD08,"1,177",110,28,61,1,339,181,82,28,11,332,4,89
95DD09,"1,757",245,26,137,5,837,319,117,11,7,31,22,163
95DD10,"1,683",136,42,87,9,787,263,144,19,10,181,5,129
95DD11,"1,390",156,20,67,4,467,287,96,35,17,237,4,87
95DD12,"1,758",247,17,229,5,866,250,100,5,3,21,15,246
95DD13,989,96,16,28,1,355,186,63,15,12,212,5,44
95DD14,"2,267",218,29,63,3,"1,064",523,172,10,21,152,12,92
95DD15,"2,400",296,29,339,5,"1,079",328,186,7,2,109,20,368
95DD16,"2,083",269,23,242,3,"1,029",289,150,11,2,41,24,265
95DD17,"2,429",345,16,372,0,"1,148",319,165,6,4,32,22,388
95DD18,992,128,9,36,5,374,139,96,12,5,177,11,44
95DD19,"2,206",231,25,218,8,"1,062",371,164,12,2,100,13,243
95DD20,906,106,5,71,3,258,119,65,14,2,256,7,76
95DD21,"1,361",98,23,61,2,553,251,117,18,10,218,10,84
95DD22,"2,012",279,27,247,4,932,272,135,9,4,93,10,274
95DD23,"1,734",298,15,220,4,802,220,127,5,3,22,18,235
95DD24,"1,802",165,30,62,6,746,356,143,15,10,259,10,92
95EE01,"1,235",154,10,257,0,487,152,93,5,1,63,13,267
95EE02,"1,295",164,13,144,5,586,217,82,5,2,60,17,157
95EE03,"1,149",97,20,74,6,504,215,89,5,3,133,3,94
95EE04,"1,259",150,12,183,0,586,156,92,4,0,68,8,195
95EE05,934,145,15,64,2,443,150,65,5,3,35,7,79
95EE06,"1,530",192,18,270,1,610,225,115,3,2,83,11,288
95EE07,"1,029",85,16,82,2,432,162,94,3,3,144,6,98
95EE08,973,80,23,58,1,452,177,72,2,7,95,6,81
95EE09,"1,230",202,14,184,2,536,154,86,3,1,43,5,198
95EE10,"1,136",137,13,181,1,500,140,98,3,2,47,14,194
95EE11,"1,075",189,12,162,4,456,148,69,6,1,14,14,174
95EE12,"1,461",112,30,95,3,619,273,124,18,6,173,8,125
95EE13,758,75,22,50,2,303,133,46,4,3,117,3,72
95EE14,"1,702",214,25,149,6,754,296,138,16,1,87,16,174
95EE15,"1,105",158,11,174,3,488,148,92,2,0,17,12,185
95EE16,"1,396",185,8,205,2,648,229,75,10,2,24,8,213
95FF01,"3,351",254,12,213,4,"1,565",688,308,34,8,242,23,225
95FF02,"1,854",278,4,361,2,810,204,121,12,3,38,21,365
95FF03,"2,002",151,3,128,3,867,342,162,27,7,307,5,131
95FF04,"1,784",317,6,250,2,812,229,116,5,0,30,17,256
95FF05,"1,543",139,8,170,3,718,177,115,7,2,188,16,178
95FF06,"2,894",252,10,325,4,"1,344",415,196,16,5,309,18,335
95FF07,"1,612",141,4,158,5,585,247,115,18,3,330,6,162
95FF08,"1,362",143,8,111,1,563,228,100,15,3,186,4,118
95FF09,"1,528",190,14,192,2,644,234,101,15,5,123,8,206
95FF10,"2,436",310,10,370,2,"1,158",284,179,11,5,75,32,380
